date,league,top,jungle,mid,bottom,support
2019-03-24,LCS,Lissandra,Nocturne,Irelia,Ezreal,Rakan
2019-03-24,LCS,Poppy,Jarvan IV,Ryze,Lucian,Braum
2019-03-24,LCS,Sylas,Sejuani,Irelia,Twitch,Galio
2019-03-24,LCS,Jax,Nunu & Willump,Ryze,Vayne,Braum
2019-03-24,LCS,Vladimir,Jarvan IV,Orianna,Varus,Tahm Kench
2019-03-24,LCS,Akali,Kindred,Zilean,Lucian,Braum
2019-03-24,LCS,Gangplank,Rek'Sai,Lissandra,Jinx,Braum
2019-03-24,LCS,Lucian,Lee Sin,Karthus,Xayah,Rakan
2019-03-24,LCS,Neeko,Rek'Sai,Zoe,Lucian,Thresh
2019-03-24,LCS,Vladimir,Sejuani,Kassadin,Jinx,Morgana
2019-03-24,LCS,Aatrox,Nocturne,Lissandra,Lucian,Braum
2019-03-24,LCS,Cho'Gath,Rek'Sai,Vel'Koz,Varus,Tahm Kench
2019-03-24,LCS,Akali,Jarvan IV,Galio,Xayah,Rakan
2019-03-24,LCS,Poppy,Sejuani,Syndra,Kalista,Braum
2019-03-23,LCS,Ornn,Jarvan IV,Morgana,Jinx,Tahm Kench
2019-03-23,LCS,Vladimir,Rek'Sai,LeBlanc,Xayah,Rakan
2019-03-23,LCS,Vayne,Elise,Lissandra,Xayah,Rakan
2019-03-23,LCS,Akali,Skarner,Ryze,Lucian,Galio
2019-03-23,LCS,Aatrox,Jarvan IV,Lissandra,Kog'Maw,Lulu
2019-03-23,LCS,Urgot,Rek'Sai,Cassiopeia,Jinx,Tahm Kench
2019-03-23,LCS,Aatrox,Kindred,Lissandra,Varus,Braum
2019-03-23,LCS,Camille,Jarvan IV,Zilean,Kog'Maw,Tahm Kench
2019-03-17,LCS,Vladimir,Nocturne,Lissandra,Kalista,Alistar
2019-03-17,LCS,Neeko,Rek'Sai,Syndra,Lucian,Braum
2019-03-17,LCS,Kennen,Rek'Sai,LeBlanc,Vayne,Rakan
2019-03-17,LCS,Aatrox,Skarner,Corki,Ezreal,Braum
2019-03-17,LCS,Vladimir,Jarvan IV,Swain,Xayah,Rakan
2019-03-17,LCS,Ryze,Aatrox,Lissandra,Jinx,Thresh
2019-03-17,LCS,Aatrox,Skarner,Lissandra,Ezreal,Thresh
2019-03-17,LCS,Akali,Nocturne,Taliyah,Lucian,Galio
2019-03-17,LCS,Lissandra,Nocturne,Syndra,Kai'Sa,Alistar
2019-03-17,LCS,Ornn,Rek'Sai,Karthus,Jinx,Tahm Kench
2019-03-17,LCS,Vladimir,Jarvan IV,Zoe,Ezreal,Braum
2019-03-17,LCS,Aatrox,Rek'Sai,LeBlanc,Xayah,Rakan
2019-03-17,LCS,Aatrox,Poppy,Swain,Vayne,Braum
2019-03-17,LCS,Vladimir,Rek'Sai,Lissandra,Kalista,Galio
2019-03-16,LCS,Aatrox,Rek'Sai,Akali,Vayne,Galio
2019-03-16,LCS,Vladimir,Jarvan IV,Azir,Jinx,Braum
2019-03-16,LCS,Lissandra,Rek'Sai,Syndra,Vayne,Braum
2019-03-16,LCS,Ryze,Elise,Orianna,Lucian,Alistar
2019-03-16,LCS,Jayce,Rek'Sai,Viktor,Sivir,Braum
2019-03-16,LCS,Yorick,Sejuani,Vel'Koz,Ashe,Tahm Kench
2019-03-10,LCS,Rumble,Jarvan IV,Lissandra,Irelia,Alistar
2019-03-10,LCS,Aatrox,Zac,Syndra,Ashe,Tahm Kench
2019-03-10,LCS,Aatrox,Sejuani,Syndra,Corki,Galio
